institute code,institute_name,place,district_code,co_education,college_type,branch_code,branch_name,OC_BOYS,OC_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,SC_I_BOYS,SC_I_GIRLS,SC_II_BOYS,SC_II_GIRLS,SC_III_BOYS,SC_III_GIRLS,ST_BOYS,ST_GIRLS,EWS_BOYS,EWS_GIRLS,affiliated_to
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,24147,24147,41502,41502,34085,36425,24147,24147,31767,31767,24369,37487,24147,138549,56135,56135,51882,51882,61347,70506,33632,33632,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),26432,26432,59596,59596,40592,40592,102919,102919,33724,37381,47365,60556,26432,26432,77724,127983,66595,66595,88483,132029,36342,36342,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,34682,44847,102933,110964,63789,73807,34682,44847,54611,54611,110517,118655,34682,44847,121903,121903,83364,108693,128399,128399,54335,66424,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,62606,91120,82680,91120,109130,109130,62606,96339,76622,91228,80021,91120,62606,91120,137943,146825,62606,91120,90287,145982,93730,134342,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,MEC,MECHANICAL ENGINEERING,65347,116925,127779,127779,111227,116925,65347,116925,105791,120420,65347,116925,65347,116925,141670,141670,65347,147950,114707,134818,104472,118544,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,CIV,CIVIL ENGINEERING,58226,58226,113649,126357,96615,96615,58226,58226,81453,93502,58226,120594,136536,136536,136307,145171,129661,129661,117755,137454,71557,114524,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),25579,25579,53592,53592,33385,35155,78691,78691,32674,32674,55275,65361,108625,108625,85520,89143,63580,63580,99062,99062,28711,28729,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,22208,22208,51608,51831,30544,31704,83727,83727,29757,29757,52085,58242,127895,146715,72680,86482,55679,55679,77009,82361,25813,25813,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),23028,23028,44973,45265,30690,32149,62180,62180,30212,30212,41694,61037,125425,125425,72858,72858,60786,60786,90113,93369,26687,26687,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),29748,29748,61311,79446,42357,42357,29748,108552,39042,40850,74566,74566,29748,151459,106985,115102,77887,108265,125277,136596,35859,35859,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,31519,31519,72817,72817,43530,43530,31519,31519,43722,43722,76010,76010,31519,31519,102354,102354,79146,81119,91525,135408,35854,35854,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,39271,39271,104188,104188,58154,58701,39271,39271,39271,39271,82351,82351,39271,39271,70431,139626,88295,88295,102441,102441,61279,61279,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,INF,INFORMATION TECHNOLOGY,28800,28800,58829,58829,38757,41677,28800,28800,37718,37718,66887,79249,28800,28800,103163,103163,28800,53544,100128,100128,31050,31050,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,55612,81032,103969,120471,59496,81032,71004,81032,69568,104626,130869,130869,130850,130850,128243,137817,81146,81146,57771,81032,97336,119712,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CIV,CIVIL ENGINEERING,104008,104008,116982,118095,119961,119961,104008,104008,113639,113639,104008,104008,104008,104008,142229,142229,104008,145306,147873,148560,134597,134597,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),51543,53931,115268,121029,85514,90107,51543,53931,79507,80359,104283,108510,51543,53931,130950,130950,132623,132623,121844,149116,83154,83154,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,55245,55245,92945,105241,78766,80423,55245,56602,70714,70714,91186,97552,55245,97641,113192,114449,106272,106272,137964,137964,82277,82277,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),58452,60138,85749,108699,79823,79823,79958,79958,71718,71718,58452,96169,62235,62235,116669,136792,126840,126840,138266,138597,76195,76195,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,73549,79786,87647,112989,98765,101727,73549,79786,89369,89369,125467,125467,73549,79786,142343,142343,136316,136316,144330,151278,97184,100650,JNTUH
